County of Residence,County of Residence Code,Mother's Single Race 6,Mother's Single Race 6 Code,Age of Mother 9,Age of Mother 9 Code,Mother's Education,Mother's Education Code,Mother's Nativity,Mother's Nativity Code,Births,Average Number of Prenatal Visits
"Allegheny County, PA",42003,Asian,A,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born outside the U.S. (includes possessions),2,121,12.64
"Allegheny County, PA",42003,Asian,A,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born in the U.S. (50 US States),1,20,12.79
"Allegheny County, PA",42003,Asian,A,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born outside the U.S. (includes possessions),2,45,11.47
"Allegheny County, PA",42003,Asian,A,35-39 years,35-39,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,23,11.27
"Allegheny County, PA",42003,Asian,A,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,53,13.26
"Allegheny County, PA",42003,Asian,A,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born outside the U.S. (includes possessions),2,46,12
"Allegheny County, PA",42003,Asian,A,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born in the U.S. (50 US States),1,11,13.2
"Allegheny County, PA",42003,Asian,A,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born outside the U.S. (includes possessions),2,39,11.82
"Allegheny County, PA",42003,Black or African American,2054-5,15-19 years,15-19,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,56,9.73
"Allegheny County, PA",42003,Black or African American,2054-5,15-19 years,15-19,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,114,9.44
"Allegheny County, PA",42003,Black or African American,2054-5,20-24 years,20-24,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,28,8
"Allegheny County, PA",42003,Black or African American,2054-5,20-24 years,20-24,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,396,9.95
"Allegheny County, PA",42003,Black or African American,2054-5,20-24 years,20-24,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,19,8.5
"Allegheny County, PA",42003,Black or African American,2054-5,20-24 years,20-24,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,114,10.89
"Allegheny County, PA",42003,Black or African American,2054-5,20-24 years,20-24,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,20,9
"Allegheny County, PA",42003,Black or African American,2054-5,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,26,13.48
"Allegheny County, PA",42003,Black or African American,2054-5,25-29 years,25-29,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,31,8.1
"Allegheny County, PA",42003,Black or African American,2054-5,25-29 years,25-29,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,302,10.05
"Allegheny County, PA",42003,Black or African American,2054-5,25-29 years,25-29,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,27,7.96
"Allegheny County, PA",42003,Black or African American,2054-5,25-29 years,25-29,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,163,11.03
"Allegheny County, PA",42003,Black or African American,2054-5,25-29 years,25-29,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,62,12.2
"Allegheny County, PA",42003,Black or African American,2054-5,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,78,11.24
"Allegheny County, PA",42003,Black or African American,2054-5,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,14,13.79
"Allegheny County, PA",42003,Black or African American,2054-5,30-34 years,30-34,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,29,11.78
"Allegheny County, PA",42003,Black or African American,2054-5,30-34 years,30-34,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,190,11.11
"Allegheny County, PA",42003,Black or African American,2054-5,30-34 years,30-34,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,12,9.36
"Allegheny County, PA",42003,Black or African American,2054-5,30-34 years,30-34,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,141,11.45
"Allegheny County, PA",42003,Black or African American,2054-5,30-34 years,30-34,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,11,10
"Allegheny County, PA",42003,Black or African American,2054-5,30-34 years,30-34,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,79,11.3
"Allegheny County, PA",42003,Black or African American,2054-5,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,58,12.59
"Allegheny County, PA",42003,Black or African American,2054-5,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,17,11.24
"Allegheny County, PA",42003,Black or African American,2054-5,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,31,12.13
"Allegheny County, PA",42003,Black or African American,2054-5,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born outside the U.S. (includes possessions),2,13,10
"Allegheny County, PA",42003,Black or African American,2054-5,35-39 years,35-39,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,13,9.62
"Allegheny County, PA",42003,Black or African American,2054-5,35-39 years,35-39,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,56,11
"Allegheny County, PA",42003,Black or African American,2054-5,35-39 years,35-39,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,10,11.7
"Allegheny County, PA",42003,Black or African American,2054-5,35-39 years,35-39,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,51,10.42
"Allegheny County, PA",42003,Black or African American,2054-5,35-39 years,35-39,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,43,13.27
"Allegheny County, PA",42003,Black or African American,2054-5,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,35,12.67
"Allegheny County, PA",42003,Black or African American,2054-5,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,18,10.44
"Allegheny County, PA",42003,Black or African American,2054-5,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,25,13.5
"Allegheny County, PA",42003,Black or African American,2054-5,40-44 years,40-44,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,13,13.31
"Allegheny County, PA",42003,Black or African American,2054-5,40-44 years,40-44,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,11,14.33
"Allegheny County, PA",42003,White,2106-3,15-19 years,15-19,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,35,9.89
"Allegheny County, PA",42003,White,2106-3,15-19 years,15-19,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,53,10.72
"Allegheny County, PA",42003,White,2106-3,20-24 years,20-24,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,40,9.79
"Allegheny County, PA",42003,White,2106-3,20-24 years,20-24,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,266,11.33
"Allegheny County, PA",42003,White,2106-3,20-24 years,20-24,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,24,9.74
"Allegheny County, PA",42003,White,2106-3,20-24 years,20-24,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,105,12.3
"Allegheny County, PA",42003,White,2106-3,20-24 years,20-24,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,38,12.68
"Allegheny County, PA",42003,White,2106-3,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,62,11.55
"Allegheny County, PA",42003,White,2106-3,25-29 years,25-29,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,35,9.32
"Allegheny County, PA",42003,White,2106-3,25-29 years,25-29,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,343,11.34
"Allegheny County, PA",42003,White,2106-3,25-29 years,25-29,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,28,11.07
"Allegheny County, PA",42003,White,2106-3,25-29 years,25-29,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,256,12.32
"Allegheny County, PA",42003,White,2106-3,25-29 years,25-29,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,17,10.38
"Allegheny County, PA",42003,White,2106-3,25-29 years,25-29,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,203,12.71
"Allegheny County, PA",42003,White,2106-3,25-29 years,25-29,"Associate degree (AA, AS)",5,Born outside the U.S. (includes possessions),2,12,9.92
"Allegheny County, PA",42003,White,2106-3,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,644,12.63
"Allegheny County, PA",42003,White,2106-3,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,49,11.09
"Allegheny County, PA",42003,White,2106-3,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,249,12.65
"Allegheny County, PA",42003,White,2106-3,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born outside the U.S. (includes possessions),2,21,9.84
"Allegheny County, PA",42003,White,2106-3,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born in the U.S. (50 US States),1,56,11.79
"Allegheny County, PA",42003,White,2106-3,25-29 years,25-29,Unknown or Not Stated,Unk,Born in the U.S. (50 US States),1,10,4.75
"Allegheny County, PA",42003,White,2106-3,30-34 years,30-34,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,40,8.65
"Allegheny County, PA",42003,White,2106-3,30-34 years,30-34,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,221,11.67
"Allegheny County, PA",42003,White,2106-3,30-34 years,30-34,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,25,10.6
"Allegheny County, PA",42003,White,2106-3,30-34 years,30-34,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,269,12.35
"Allegheny County, PA",42003,White,2106-3,30-34 years,30-34,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,11,10.56
"Allegheny County, PA",42003,White,2106-3,30-34 years,30-34,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,275,12.11
"Allegheny County, PA",42003,White,2106-3,30-34 years,30-34,"Associate degree (AA, AS)",5,Born outside the U.S. (includes possessions),2,10,12.44
"Allegheny County, PA",42003,White,2106-3,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,1392,12.53
"Allegheny County, PA",42003,White,2106-3,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,83,10.9
"Allegheny County, PA",42003,White,2106-3,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,943,12.64
"Allegheny County, PA",42003,White,2106-3,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born outside the U.S. (includes possessions),2,38,10.73
"Allegheny County, PA",42003,White,2106-3,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born in the U.S. (50 US States),1,308,12.32
"Allegheny County, PA",42003,White,2106-3,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born outside the U.S. (includes possessions),2,13,9.38
"Allegheny County, PA",42003,White,2106-3,30-34 years,30-34,Unknown or Not Stated,Unk,Born in the U.S. (50 US States),1,10,12
"Allegheny County, PA",42003,White,2106-3,35-39 years,35-39,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,14,9.62
"Allegheny County, PA",42003,White,2106-3,35-39 years,35-39,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,94,10.8
"Allegheny County, PA",42003,White,2106-3,35-39 years,35-39,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,12,10.17
"Allegheny County, PA",42003,White,2106-3,35-39 years,35-39,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,151,12.05
"Allegheny County, PA",42003,White,2106-3,35-39 years,35-39,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,140,13.05
"Allegheny County, PA",42003,White,2106-3,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,739,12.57
"Allegheny County, PA",42003,White,2106-3,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,47,11.2
"Allegheny County, PA",42003,White,2106-3,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,597,12.57
"Allegheny County, PA",42003,White,2106-3,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born outside the U.S. (includes possessions),2,50,11.38
"Allegheny County, PA",42003,White,2106-3,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born in the U.S. (50 US States),1,209,12.35
"Allegheny County, PA",42003,White,2106-3,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born outside the U.S. (includes possessions),2,34,10.36
"Allegheny County, PA",42003,White,2106-3,40-44 years,40-44,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,24,11.67
"Allegheny County, PA",42003,White,2106-3,40-44 years,40-44,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,26,10.87
"Allegheny County, PA",42003,White,2106-3,40-44 years,40-44,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,23,12.61
"Allegheny County, PA",42003,White,2106-3,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,78,12.34
"Allegheny County, PA",42003,White,2106-3,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,68,13.37
"Allegheny County, PA",42003,White,2106-3,40-44 years,40-44,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born in the U.S. (50 US States),1,33,12.56
"Allegheny County, PA",42003,White,2106-3,40-44 years,40-44,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born outside the U.S. (includes possessions),2,12,9.9
"Allegheny County, PA",42003,More than one race,M,20-24 years,20-24,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,42,11.77
"Allegheny County, PA",42003,More than one race,M,20-24 years,20-24,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,28,13.11
"Allegheny County, PA",42003,More than one race,M,25-29 years,25-29,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,21,10.35
"Allegheny County, PA",42003,More than one race,M,25-29 years,25-29,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,25,13.68
"Allegheny County, PA",42003,More than one race,M,25-29 years,25-29,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,10,11.2
"Allegheny County, PA",42003,More than one race,M,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,13,12
"Allegheny County, PA",42003,More than one race,M,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,20,12.7
"Beaver County, PA",42007,Black or African American,2054-5,20-24 years,20-24,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,20,10.33
"Beaver County, PA",42007,Black or African American,2054-5,25-29 years,25-29,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,15,9.08
"Beaver County, PA",42007,Black or African American,2054-5,30-34 years,30-34,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,12,13.67
"Beaver County, PA",42007,Black or African American,2054-5,30-34 years,30-34,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,10,11.4
"Beaver County, PA",42007,White,2106-3,15-19 years,15-19,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,18,9.67
"Beaver County, PA",42007,White,2106-3,20-24 years,20-24,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,14,9.21
"Beaver County, PA",42007,White,2106-3,20-24 years,20-24,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,75,10.71
"Beaver County, PA",42007,White,2106-3,20-24 years,20-24,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,35,11.54
"Beaver County, PA",42007,White,2106-3,20-24 years,20-24,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,16,10.94
"Beaver County, PA",42007,White,2106-3,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,10,11.9
"Beaver County, PA",42007,White,2106-3,25-29 years,25-29,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,14,10.69
"Beaver County, PA",42007,White,2106-3,25-29 years,25-29,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,99,11.56
"Beaver County, PA",42007,White,2106-3,25-29 years,25-29,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,79,11.51
"Beaver County, PA",42007,White,2106-3,25-29 years,25-29,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,62,11.98
"Beaver County, PA",42007,White,2106-3,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,124,11.78
"Beaver County, PA",42007,White,2106-3,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,29,11.52
"Beaver County, PA",42007,White,2106-3,30-34 years,30-34,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,14,9.38
"Beaver County, PA",42007,White,2106-3,30-34 years,30-34,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,52,11.7
"Beaver County, PA",42007,White,2106-3,30-34 years,30-34,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,53,12.24
"Beaver County, PA",42007,White,2106-3,30-34 years,30-34,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,68,12.34
"Beaver County, PA",42007,White,2106-3,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,166,12.22
"Beaver County, PA",42007,White,2106-3,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,86,12.46
"Beaver County, PA",42007,White,2106-3,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Born in the U.S. (50 US States),1,18,12.22
"Beaver County, PA",42007,White,2106-3,35-39 years,35-39,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,26,12.38
"Beaver County, PA",42007,White,2106-3,35-39 years,35-39,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,23,12.57
"Beaver County, PA",42007,White,2106-3,35-39 years,35-39,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,23,12.68
"Beaver County, PA",42007,White,2106-3,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,67,13.75
"Beaver County, PA",42007,White,2106-3,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,Born in the U.S. (50 US States),1,34,12.16
"Berks County, PA",42011,Black or African American,2054-5,15-19 years,15-19,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,14,10.15
"Berks County, PA",42011,Black or African American,2054-5,15-19 years,15-19,9th through 12th grade with no diploma,2,Born outside the U.S. (includes possessions),2,11,14.45
"Berks County, PA",42011,Black or African American,2054-5,15-19 years,15-19,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,19,11.84
"Berks County, PA",42011,Black or African American,2054-5,20-24 years,20-24,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,19,14.06
"Berks County, PA",42011,Black or African American,2054-5,20-24 years,20-24,9th through 12th grade with no diploma,2,Born outside the U.S. (includes possessions),2,13,12.54
"Berks County, PA",42011,Black or African American,2054-5,20-24 years,20-24,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,40,13.75
"Berks County, PA",42011,Black or African American,2054-5,20-24 years,20-24,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,19,14.17
"Berks County, PA",42011,Black or African American,2054-5,20-24 years,20-24,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,24,14.87
"Berks County, PA",42011,Black or African American,2054-5,20-24 years,20-24,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,13,15.15
"Berks County, PA",42011,Black or African American,2054-5,25-29 years,25-29,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,12,15
"Berks County, PA",42011,Black or African American,2054-5,25-29 years,25-29,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,33,13.03
"Berks County, PA",42011,Black or African American,2054-5,25-29 years,25-29,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,30,15
"Berks County, PA",42011,Black or African American,2054-5,25-29 years,25-29,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,19,14.58
"Berks County, PA",42011,Black or African American,2054-5,25-29 years,25-29,"Some college credit, but not a degree",4,Born outside the U.S. (includes possessions),2,10,13.4
"Berks County, PA",42011,Black or African American,2054-5,25-29 years,25-29,"Associate degree (AA, AS)",5,Born outside the U.S. (includes possessions),2,16,14.44
"Berks County, PA",42011,Black or African American,2054-5,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,Born in the U.S. (50 US States),1,11,12.82
"Berks County, PA",42011,Black or African American,2054-5,30-34 years,30-34,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,24,15.71
"Berks County, PA",42011,Black or African American,2054-5,30-34 years,30-34,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,19,15.89
"Berks County, PA",42011,Black or African American,2054-5,30-34 years,30-34,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,35,14.09
"Berks County, PA",42011,Black or African American,2054-5,30-34 years,30-34,"Associate degree (AA, AS)",5,Born in the U.S. (50 US States),1,10,16.7
"Berks County, PA",42011,Black or African American,2054-5,35-39 years,35-39,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,10,15.5
"Berks County, PA",42011,Black or African American,2054-5,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,Born outside the U.S. (includes possessions),2,10,12.9
"Berks County, PA",42011,White,2106-3,15-19 years,15-19,9th through 12th grade with no diploma,2,Born in the U.S. (50 US States),1,57,13.36
"Berks County, PA",42011,White,2106-3,15-19 years,15-19,9th through 12th grade with no diploma,2,Born outside the U.S. (includes possessions),2,25,15.33
"Berks County, PA",42011,White,2106-3,15-19 years,15-19,High school graduate or GED completed,3,Born in the U.S. (50 US States),1,59,14.2
"Berks County, PA",42011,White,2106-3,15-19 years,15-19,High school graduate or GED completed,3,Born outside the U.S. (includes possessions),2,14,14.07
"Berks County, PA",42011,White,2106-3,15-19 years,15-19,"Some college credit, but not a degree",4,Born in the U.S. (50 US States),1,12,10.67
